,Comment
322,2:33 ye acha tha
1900,"We need these guys to roast trask tiktokers
Idk why foreigners makes 1kx times better tiktok than us indians..."
1360,"Bhure : Mein toh us din diaper pena hua tha

Us din pata chala bhure nahi Haroon ne mut diya tha."
1481,Bhai kamra mai tera bhi fan hoon or carry ka bhi ab batao ki mai padha likha hoon ya jaahil..face_with_rolling_eyesthinking_face
857,"Kon kon sirf DISLIKE marne aya tha?!face_with_tears_of_joyface_with_tears_of_joyrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing

Carry Fans!!face_savoring_food"
167,Good point bro
950,Sir complete video daaliye.... Plz.. I m big fan of R K...
872,"Oooooooooo!!!! Ooooooooooo!!!
Ooooooooooo!!!"
616,Ye carryminati ka naam lekar famous Hona Chahta hai or Kuch nhirolling_on_the_floor_laughing
1226,Modi fenku h
785,"Soon we'll have the best roast on YouTube 
Rip kamra face_with_tears_of_joy"
419,You lost a subscriber dude...and my respect...! Try to get the context of his videos before roasting ! Bahti ganga mean haath dho rahe!
821,"I always thought Kunal pe log case kyu karte rehte hain???

Phir Maine uski stand up dekha aur socha maine ab tak FIR darj kyu nahi Kara??"
12,Carry is just a teen boy.... don't say darinda
1544,"Whenever Linus says ""it's that simple"", there is a 100% chance that he is saying something stupid."
580,"You don't have right to judge the languages spoken in India and making fun or comedy. Although i am not gujrati but still under no situation this can be tolerated. Saying ""I love gujrati"" on one side and on another side making fun of their languages is not a good sense of humor or so called comedy. I quit watching ur video at first 3 mins as i cudnt handle it more."
812,Roast kam  oohhhhhhhh rolling_on_the_floor_laughingrolling_on_the_floor_laughingsquinting_face_with_tongue
6,Binod
698,Haram khoro kitna time laga diya face_with_tears_of_joy
975,Waa yaar waaa.....loved it
1500,After watch this I searching in you tube carryminati reply to Kunalface_with_tears_of_joy firefire
1733,Jalan dekho bhai ki. Khud kuch kr nhi paya to carry ko bol rha hai. Bhai jalai na jali na jali naface_with_tears_of_joyface_with_tears_of_joy
512,2 million dislike... grinning_facegrinning_facerolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing or tere papa carryminati ke 20 million followers ho gaye...
2092,"Hama badshah bhana ka shok nhi ha

May g 

Chutya bhana ka shok ha rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing"
1553,Lovely.....amazing
2028,"Sudhir Chaudhary -""designer patrakar aur buddhijivi""face_with_tears_of_joyface_with_tears_of_joy"
478,Aukat dekho carry ko roast karenge
1173,Chal kisi ne to himmat ki carry ko roast krne ki vobhi Bina gaali gloj kethumbs_up
1940,Jyada toh kuch ni... Gana famous ho gaya face_with_tears_of_joyface_with_tears_of_joy
402,Islami republic of Pakistan pig_facepigpig
799,Who else Just came to check the number of dislikes!!
1558,"Guys If you see slayy point and carryminati...carryminati never roast strong and power packed people... you just enjoy his galis, 
If he post one roast video w/o galis...you'll have no fun..."
1015,Dislikes numbers rolling_on_the_floor_laughinggrinning_face_with_sweat
1953,I guess Kunal Kamra wants Carry to Roast him. So he just wanted to seek his attention.
583,*That coffin dance with kamra leading was the best part* face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1517,"Kunal : Aaj mai Carry ko roast sikhayega
Carry : aji lund mera
rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing"
1459,"20:20 Mùa này là mùa em yêu đời, xin anh đừng mời em yêu đùa"
846,_Youtube done great work by _*_hiding dislikes alone_*_ of all youtube videosface_with_tears_of_joyface_with_tears_of_joy_
542,Awesome thumbs_up
1582,The title should be ‘how to get into a controversy..?’ face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
2076,This is what happens when someone is confined at one place even when there's no lockdown face_with_tears_of_joyface_with_tears_of_joy
1020,You've more dislikes than your subscription (Ohhhhhhhhhhh Ohhhhhhhhhhhhh)
1741,Papuu next Kunal face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1928,Sasti editing
1694,Nice stunt kunal
1570,2.5 millions dont understand intelligent rosting.
1951,"Bhai kesa laga bhai 2m dislike leke  
Baap baap hota hai 
Carry terr papa"
1401,linus is eliteist
1875,Is video pe aapko mile hai sirf 2 million dislikeface_with_tears_of_joyface_with_tears_of_joy
195,10 minutes muhh se haggne ko roast nahi kehte beta
1407,Dislike nhi dikh rhi hai nhi to saari akad dikh jaati
1254,"Mr faisu : YouTube pe Sabse zyada dislikes sirf mujhe hi mile haiweary_face
Kunal Kamra to faisu : ruko Jara Sabar karorolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing"
957,TAKLE face_with_tears_of_joy
1513,"Kunal = loda  , kamra = lasan ab shabad jodiye friends"
2111,"Kamra k kitne baap ?
1 lakh=100 baap..
Daba k like maaro"
1172,kamra just made carry's career. uska content dekhne ke liye kitne din psychiatrist ke saath guzarna padha?
582,The animated kamra has more hair than the real kamraface_with_tears_of_joyface_with_tears_of_joy
1571,"one of the best is:- when he trolled faizu n sudduface_with_tears_of_joyface_with_tears_of_joy
""hmari dosti aisi ho""
""ek ko mut ayegi to dusra v jayega grinning_squinting_facegrinning_squinting_face"
1250,"I like the video kunal , bat sari sahi boli hai tune face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy."
598,Kiya baat boli Bhai ek dum sahi  haat me louda rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
951,binod
30,Is ka subscribers sa zada to dislike ha is kaface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
2015,Can't wait when Carry will roast this guy face_with_tears_of_joyface_with_tears_of_joy
1944,"Iran-Ayatoullah Ali Khamenei as religious leader.

India-Carryminati, face_with_raised_eyebrowface_with_raised_eyebrowface_with_raised_eyebrow

sometimes Majority fucks"
485,"Isme hasi kha aae ...it's politics
....chutiapa..."
570,"i dont know why he is still not deleting this rubbish content on youtube?
i mean this guy kunal."
749,2 m dislikes keep baad sikh gaya ho ga tu
2089,Ek he hasti baap se masti......rolling_on_the_floor_laughingrolling_on_the_floor_laughing.      Support carry minati
1583,7:32 ab ja ke dikhao ab ja ke dikhaoface_with_tears_of_joyface_with_tears_of_joy
994,Aur tereko mil gaya 2.4 million dislikes face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
2112,Bro u jokes about how u get biased treatment in India. We do know that's unfair but the reasons are also some muslims only. Btw u speak truth and loved ur videos heart_suit
484,I'm Gujarat smirking_face
1561,carry ko roast kia tik hai pr kam se kam maja to aane dia retha kuch bhi chitiya cheez bana di
1441,Isse achaa to carry ka koi Kid fan roast krde iskooo face_with_tears_of_joyface_with_tears_of_joy
62,Modi ki oukat nahi ki Ravish sir ko interview de
908,Osama osama
1150,Eie pagal he kya sirf modi aur hindu ke upar hi jokes herolling_on_the_floor_laughingrolling_on_the_floor_laughing
1204,11:04 ye hard tha gurured_heart
409,congratulation for 2M dislikes
1609,Ravish ji...u nailed it...the other man is definitely amongst modi bhakts....agar hum kare to kare kya bole to bole kya...sach boliye janaab...jhut pe parda na daale....aur agar zameer mara na ho to sach sunne ka hausla bhi rakhiye
11,"Hindi me gaali dene waale lagte inhe fool, English mai gaali dene waale lagte cool haiface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
369,"Even though I am Gujarati I still didn't get it why gujju's literally eat everything with sugar lol, where I live, most of the people just love spicy food and hate some sweets face_with_tears_of_joy
Btw Love your stand up's, hope we will see some more dark humor jokes from you. Love from Gujarat"
41,10 minutes muhh se haggne ko roast nahi kehte beta
953,Pkmkb
1326,You've more dislikes than your subscription (Ohhhhhhhhhhh Ohhhhhhhhhhhhh)
575,"Title of this video ""How to destroy your whole career in 11 min tutorial video "" face_with_tears_of_joyface_with_tears_of_joy"
1229,"Last one ""Be aware of Chinese products"" nailed it rolling_on_the_floor_laughingrolling_on_the_floor_laughingfire"
1224,After this roast fans be like : phir maar nahi kayega Thu face_savoring_food
634,Starting achi thi jab Tak Kunal kamra ne muhh kholna start nhi kia thaface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1516,2min silence for Kunal kamra.. Who thinks he is roasting carry in this Vdoface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1066,"Abhishek upmanyu be like ""aur bhai swad aagya karwali bezzati"""
1667,"Munawar Faruqui's standup carrer 

- Hindu muslim jokes
- Gujarat 2002
- Modi

End."
880,Yeah Dost Hai chutiyapaface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
115,Hindu deserve  this insult
585,ganesha de be de pudi
1152,Tu marega carry k hathorolling_on_the_floor_laughingrolling_on_the_floor_laughing
1719,Kisiki mazak uda raha hee...face_with_tears_of_joy
1051,"Konsa kamra 


Konsa karma 

Ooh samajh gya"
807,carry be like: yeh toh tatti hai
1456,Jitne subscriber ni h usse jyada to dislikes aa chuke hface_with_hand_over_mouth This is what you got for tatti content
505,Love carry sirred_heartLOL 2m dislike face_with_tears_of_joy
393,wtf
724,When you realize comments on this video is more funnier than his jokes face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1860,"Never seen someone so desperate to add his own ""roasted effects"" after every fucking line cause he wants to feel like he made a roast. Bro carry doesn't even have to waste his time with you this comment section is enough"
2018,rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
1926,Kamra k worst punches so far! Because carry ka bogus deserved only that much.. kamra ki 10 min ki mehnat.. it was more of a commentary to carry for introspection
1227,Peeing human muth ke aag failaila hai smiling_face_with_smiling_eyes
1809,जो जो victory_handमेरी कमेंटwriting_hand पढ़ रहा है folded_handsभगवानfolded_hands करे एक एकface_with_hand_over_mouth करोड़ की लॉटरी लगा देface_blowing_a_kiss
671,BINOD
2040,Faizu be like .....mera record sankat me hairolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
1264,"""""""Who found oxyzen and start breathing breathing randomly are real, real legends""""""heart_suitheart_suitIndia"
1898,"1.4m dislikes new_moon_face
This is why you should stop poking your nose everywhere new_moon_face"
1879,"⠀⠀⠀⠀⠀⣰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⡀

⠀⠀⠀⢀⣾⣿⣿⣿⠿⠿⠟⠻⠿⢿⣿⣿⣿⡆

⠀⠀⠀⢰⣿⣿⡿⠂⠀⠀⠀⠀⠀⠀⠈⠉⢻⡇

⠀⠀⠀⠈⠿⣿⣇⣠⠤⠤⠤⢤⣀⣤⠤⠤⣺⡏

⠀⠀⠀⠀⠐⢉⣯⠹⣀⣀⣢⡸⠉⢏⡄⣀⣯⠁

⠀⠀⠀⠀⠡⠀⢹⣆⠀⠀⠀⣀⡀⡰⠀⢠⠖⠂to

⠀⠀⠀⠀⠀⠈⠙⣿⣿⠀⠠⠚⢋⡁⠀⡜ kaise

⠀⠀⠀⠀⠀⠀⢸⠈⠙⠦⣤⣀⣤⣤⡼⠁ hain

⠀⠀⠀⠀⠀⢀⡌⠀⠀⠀⠀ ⠉⢏⡉ aap log

⠀⠀⠀⣀⣴⣿⣷⣶⣤⣤⣤⣴⣾⣷⣶⣦⡀

⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣄"
1446,This guy needs some sense of humour
1805,Harhar modi  red_heartred_heart  laura e lahsan
789,The new anti Hindu guy pito sake ko
432,binod
256,"I feel ashamed of myself, to have voted for Bharat Jalao Party in 2014. Ravish Sir respect folded_hands"
1796,Iske ghar pe 12000 do swachh bhart ke tahat ye youTube pe hag rha hai rolling_on_the_floor_laughingrolling_on_the_floor_laughing
1789,"*Kamra:* I used the stones to destroy the stones
*Carry's Fans :* Muh se muungfali tuut nhi rahi hai g**nd se akhrot todega kya."
1465,"मिल गई शांति 
शांतिदूत face_with_tears_of_joyface_with_tears_of_joy
बड़ा आया रोस्ट सिखाने
फेर होज्यू पंगो मत ले लिज्यो कैरी भाई सु"
2088,"Bhai ye video Dekh kr survive kr gye toh congratulations 
Or covid vaccination se phle Kunal kamra vaccination krvao 
Je jyada haanikaarak h samaaj k liye face_with_tears_of_joyface_with_tears_of_joy"
85,"After 2M Dislike 
CarryMinati : Bahut tej ho rahe ho salo"
2038,Aukat itni mtt badha rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
1430,Chakka kunal kamrarolling_on_the_floor_laughingrolling_on_the_floor_laughing
1061,Kya aapke toothpaste mein namak haipile_of_poorolling_on_the_floor_laughingrolling_on_the_floor_laughingthumbs_up
203,oye crandeep face_with_tears_of_joy
1076,Who didn't even smile throughout the video?
440,_Youtube done great work by _*_hiding dislikes alone_*_ of all youtube videosface_with_tears_of_joyface_with_tears_of_joy_
593,Yae desh extremely secular chutiyon k naam par barbad ho chuka hai aur aksar aese extremely  secular aur over academic parhe - likhe gadhen  he  baad mai dhokha aur muh ki khatein hai....China aur India ka past relation pure explained vedio or story dekh  lena...example mil jaega...
1327,8:07 that's happened ...grinning_face_with_sweatthumbs_up
327,Oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooòòoooooooooooooiiiiiiiiiiiuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyytttttttttttttttttttttttttttttþtttttttttttttttrrrrrrrrrrrrrrrrrrrrtttttttttttttþttrrrrrrrrrrrrrrrtttttrrrrrrrrrrrrttrrrrrrrrŕrrrreeeeeeeeeeererrreeeererrrrrrrrreeeeee
1292,I think watching  this roast was somehow worth to watch.... Otherwise india ma bawaseer hi bawaseer ha...... Jaise ke aapka corry buoi
547,Kunal was inviting us 2.5 dislikes krke dikhao dikhao
361,Binod
1930,Don't teach your daddy to do his work... cause he know it better then you ......so mind your own business   and get aside
1458,Han ye video koi accha nhi laga... Per ek bat kahungi jaise carryminati ke videos hain sirf aur sirf galiyon se bhare wese hi uske fans hain. Kitne proudly galiyo ka use kar rahe hain wah Mr. Carry bahut accha sikha rahe ho sabko clapping_handsclapping_handsclapping_hands
741,LIKE DEK AUR DISH LIKE face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy CARRY BHAI  KO ROST KAREGA face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1073,Binod started hete
1187,Chunal Kamra face_with_tears_of_joyface_with_tears_of_joy
140,Issi tatti cheez mai aaj tak nhi dekha face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1091,Legend are watching now red_heart
903,Binod
935,Guys make this video the most disliked video on YouTube
1984,7:09 carry got 2M likes and you got 2M dislikes face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
599,"Kunal: Ye YouTube ka haal dekh ke mereko TikTok pe jaane ka mann ho rha hai.
YouTube: Pehli fursat me nikal bsdk
face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
1036,face_with_tears_of_joyrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
888,1.1M dislikes or beta Kunal aa Gaya swadface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1576,Kunal.. What is your point and purpose of doing this. You don't have to do your hands dirty on shitty things.
1429,Sensible roast without using cuss words ... Hope “CHAPRIS” stay calm here face_with_tears_of_joy
803,Ashneer: ye kya kr rha h yr tuface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
413,"You have too much pain pensive_face
Yes you have right all over india because you are Indian. 

But people disagree with Muslims because of history. See history. 
But you don't have right to say unusual think about pm, Gujarat.
Democracy ka matlab Ye nahi hai kuch bhi bolte jau.
And all are Indians."
1005,"This video was hilarious. Your content is just like it should never end. Request to make more videos in lesser time. Also suggestion is please keep ads at the end after the lessons. Show it didn't break the link of mind.

1. USA has done its work without harming to its image. (Pakistan got blamed)
2. China want to take over the whole economy of the world {connecting dotes :- Srilanka, Pakistan and now Taiwan - 3 ports (half of the sea economy) in the hands of China}
3. Jealous PMs of Pakistan killed the lakhs of people of their own country"
826,Finally 2M Dislike Congratulations Kunal Kamra
2124,Kunal  bomb
155,The 2nd biggest mistake of Kunal kamra's life first was done by his parents
1165,"Lgta he gujratio ki beijjati ho rhi he
Majak chal rha he GJ par

Sbse aage he Gujrati and gujrat
Best economy best man powersmirking_facesmirking_facesmirking_face"
823,Tera bhi 200 rupees rate hai face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1826,Ohhhh wala effect add krkey roasting kr rahey ho tumrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughinggazab bhaiclapping_hands_light_skin_toneclapping_hands_light_skin_tone
1439,"All your Haters, enjoyed this video.
And All your Fans, hated this video."
466,Kamra ji mubarak ho... Dislike count gayeb ho gya... Just like your comedy..grinning_face_with_sweat
517,Kunal need carry.it's clear. Baheti huyi Ganga me haat dhona.Do yr homework property.
1790,"I wanted to unsubscribe him after this vedio, but wait I realized I haven't even subscribed!
Ooohhhhh!rolling_on_the_floor_laughing"
625,AMIR SIDQUI LIKE : BACH GAYA BOSRI KE
1526,"Upar se niche tak tum bandalon me bikte ho, tumhare akele ki koi kimat nahi hai. mithaae ki dukaan par le jaunga, 200 me bik jayega- ye line Kamra ke liye hi tharolling_on_the_floor_laughingrolling_on_the_floor_laughing"
2074,Carry op
664,oye crandeep face_with_tears_of_joy
2105,Sirf oohhhh dalne se roast nahi hota..... Carry tera baap hain
611,Yeh  bsdk fir pitegaface_with_tears_of_joy
158,Carry is the best yar..... Tum ghar jao yar...  man_facepalming
356,Damn it feels good to be a gangsta. smiling_face_with_sunglasses
1625,Binod
1047,oye crandeep face_with_tears_of_joy
1505,Gobhi pakora le lo..
2020,I can guess all those who liked this vedio are tik tokers..face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1300,"this is Real image of india just as the like dislike ratio. 351K : who actually knows what is comedy/jokes, 2M chutiya /probably youngsters having a fucked up mind (credit goes to globalization), hence Fan of Carry-Type chutiya content creators!"
1725,Haa isiliye iske 2M ab tak nahi hogae ....the most offensive joke I've ever heard is he's a stand up comedian ...ohhhhhhhh
313,Mark my words this video is going to break the record of most disliked videothumbs_upfolded_handsrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
931,"Bhai laga ke dekho 1k bar dhaka ghar me gus ke maregeface_with_tears_of_joy

Bhai aap mitheslightly_smiling_faceho is liye aapke frnds mithe hamare gujrati friends ko 6u ke to dekhoface_with_tears_of_joyslightly_smiling_face"
1690,are carry bhai.. is dhechu ka nasha utaro yar rolling_on_the_floor_laughing
1623,"No one:
literally nobody:
Kunal kamra in his every faltu joke:OOHHHHHH"
516,face_with_tears_of_joyface_with_tears_of_joy
399,oye crandeep face_with_tears_of_joy
1524,Kamra pehle apne Baal bacha uske baad desh ko bachanarolling_on_the_floor_laughingrolling_on_the_floor_laughing
215,Dislikes rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingface_with_tears_of_joysad_but_relieved_facerolling_on_the_floor_laughingrolling_on_the_floor_laughing
424,"Im using jio , everything loads quickly but your videos takes too much time."
1040,Who is here after 2 million dislike
1635,Now he's gonna break the record of dislikes..!
425,He knew no one will laugh so he added the background laugh
1664,"5000 likes and 50 dislikes. Sahi kehte hai log, har 100 intelligent bando pe ek gawaar zarur hota hai..face_with_tears_of_joyface_with_tears_of_joy"
609,Ha bhai aa gya swad face_with_tears_of_joyface_with_tears_of_joy
1402,He got more dislikes as compared to the hair on his head..face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1012,"11:03
10 minutes 
What u have written
Just ohhhhhhhhhhhhhhhh....."
1973,oye crandeep face_with_tears_of_joy
250,Kunal Kamra...who don't know how many fathers he has
682,"this is a ""ROAST""! This is what means to be a ""COMEDIAN""!"
130,Kunal krma is so happy becouse youtube have given option to hide dislike
52,"Fan following dekh betha tere puri life me tuje jitne like n mile us se jyda life  dislikes mil gye baap baap hota h

Full support carry minati"
1932,"Kunal kamra : uploads this video 
Carry fans: *so you have chosen death*"
1090,Roast is about 11:12 secs and he is saying that he made a roast of 11:12 in 10 mints wha kiya math hai.
706,BINOD BINOD BINOD BINOD BINOD BINOD BINOD BINOD BINOD BINOD BINOD 1
1821,Congras For kunal kamra face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
448,Thanks for introducing me to Acharya Prashant
1016,When you get jealous from faisu's most disliked videoface_with_tears_of_joyrolling_on_the_floor_laughing
897,Gajab mast roast
1189,"Kamra: Roasts carry
....gets more dislikes than his total subscribers"
1758,"Krwali bezzatiface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy 2M dislike lol face_with_tears_of_joyface_with_tears_of_joy
Carryminati to his fans be like:rehne do gand ftt gyi h bechare kigrinning_squinting_facegrinning_squinting_face"
1530,Ravish bhai live murder is wrong
557,"Kunal kamra dad: That night i should have used condom
Kunal Kamra: ohhhh!"
1633,Finding jokes in this video is as difficult as finding hair on Kamra's head
1337,"Shut up guys
He is doing oooh just to give an indication on where to laugh.face_with_tears_of_joy"
766,"I was criticising uhh a year ago but now after a year I realized that in the true sense I was bhakt!! 
But not now 
Luv uhh kamra love your logics love your humourgrinning_face"
23,Kunal karma abhi bhi time hai carry se mafi maglo kisico nhi pta chlega.smirking_face              think about it.
555,Haha 2m dislikes unity dikhi hinduo ki..grinning_facegrinning_facegrinning_facegrinning_facegrinning_face
1712,After watching this video... Remember carry's words -  ab koi khud hi jhuk k khda ho to carry itna b sareef nhi ki kuch na kre rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
1157,"Mr Faisu: I have the most number of dislikes on youtube
Kunal Kamra: Hold my Takla"
1174,Binod
1732,Thodapinching_hand bhi hasne nhi aya kya tha ye neutral_face
1594,This video has more dislikes than the total no. of subscribers on his f***ing channelcat_with_tears_of_joycat_with_tears_of_joy.... Take that Mr. Room!!
579,disclaimer mae likh dete ohhhhhhh ane per hasna hai
1815,Baap se panga ? Haha
1231,"Maturity is when you realize that everyone can't roast. 
[ OHOHOHOHOHOHOOHOH ]"
2100,Bhai roast k nam pr hag diya tuneface_with_tears_of_joy
263,Kunal your Roasting skills are equal to hairs on your head ! OOHHHHHHHHHHH victory_hand_light_skin_tone
1009,Beta baap baap hota carry tera baap hai
1323,suprise suprise motherfucker
712,If “behti ganga me hath dhona “ had example it could be this...lolface_with_tears_of_joy money_bag
191,Iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiioiiooiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
1033,Akad baked bambebo 80 90 pure 100 pyar krnevale bohot hai bro jlne vale mumelo
2044,You got more dislike then your subscriber lolface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy carry power
504,2 m dislike beta Kunal.....face_vomitingface_vomitingbeaming_face_with_smiling_eyesbeaming_face_with_smiling_eyesbeaming_face_with_smiling_eyesbeaming_face_with_smiling_eyes
14,Jhaatu kamra face_with_tears_of_joy
310,Pick two different emojis and shoutout me I Love you abudaya
997,oye crandeep face_with_tears_of_joy
1175,Such a lame guy face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
733,Dislike because im big fan of carry carry carry carry red_heart
2039,The time u realise that this video is so lame that he had to add in genuine laughter throughout the videoface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1648,"Himat ha to Total gameing  rost 
Kar Ka glaka"
1371,Tik tok khatam madrajhaat
629,Not a good roast tho but there were some facts.
1208,its so funny how everything he point about is something he's done previously. bruh grow up
615,I like the last portion...peeing here
474,Lol carryminatis fan can't handle criticism.
776,Very funny video
1396,Hahaha sahi h modi k against tmhare jaise logon ko hone chaiye or kejri or Rahul ki chahto jindagi bhar
1657,300K likes and 1.5M dislikes. WOW record breakingface_with_tears_of_joy
1901,"Who else is coming again and again to check the number of dislikes increasing face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyrolling_on_the_floor_laughing
Edit : I never got these many likes"
800,Well this was unexpected man_shrugging_light_skin_tone
774,Ohhhh wala effect add krkey roasting kr rahey ho tumrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughinggazab bhaiclapping_hands_light_skin_toneclapping_hands_light_skin_tone
1766,Congratulations for 2.5M dislikes partying_facepartying_face
990,"Kunal Kamra on YouTube -

Total subscribers : 1.67 M
Total Dislikes when trying to roast Carry Minati : 1.8M (and counting).
Itni bejjati kaun karwata hai bhai?"
1881,"Yeh toh comedy chorne wala tha na? 
face_with_tears_of_joy
Wapas kyun aaya?
Hijab pehen ke nahi aaya?
Hijab behna kar behen loudly_crying_face.
Allah tala ko bura lagega thumbs_up"
934,Shortcut of getting viral without knowledge is to roast Carry Minati.
1797,"Bhai zindagi me na jaane kitni baar tatti Kari hai.... 







Itni zyada gandagi ek saath ek jagah Aaj tak nahi dekhi"
1689,Congratulations bro... 2 m  dislike  mc
1048,"Kamra was like ""Hol up, i am about to end my own career"""
1485,"Khana khao chaba ke... Or dislikes maaro daba ke...
Carry smiling_face_with_heart-eyes"
744,"Agar iski baaton me dum hota to isko ""ooooooooooo"" lagane ki jarurat nhi padtigrinning_face_with_smiling_eyes"
1699,18:20 modi ki phatti higayi
1372,Bhai rap song hi bnale comedy ho nhi pa rhi tujhse ab grinning_face_with_sweat
1043,It's -1 is minus 1 !! Not negative 1!!! Colonials...
893,"Do boond ka pta ni but tu 2M dislikes khaarolling_on_the_floor_laughingrolling_on_the_floor_laughing
(Ohhhhhhhhhhhhhhhhhhhhhhhh)"
190,Roasting without gaali is an art.
1840,binod
50,"Ek baar apna dislike dekh lo Kunal Kamra...
Apne baap ko roast karna sikha rhe ho....face_with_tears_of_joyface_with_tears_of_joy"
909,Jhaatu apne views dekhi 1.1crore hai aur likes 4.5L likes aur dislikes 25L likesrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
679,This is how real comedian do roasting face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1933,"Q: How much toxic is Carryminat fanbase?
A: check comment section"
2041,"No dislikes, will surely be a good video"
